1,Cayenne,http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=CAYENNE_100316,387
2,Apple Cider Vinegar,http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=ACV_88956,139
3,ACV and Cayenne,http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=ACVC_122642,56
4,Pickle Juice Brine,http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=PICKLEJUICE_46847,34
5,Salt Water Gargle,http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=SALTWATERGARGLE_88966,25
6,Hydrogen Peroxide,http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=H2O2_53285,21
7,Tabasco Sauce,http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=TABASCOSAUCE_50884,20
8,Cayenne Pepper Recipes,http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=CPR_91029,17
9,Hot Sauce,http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=HOTSAUCE_65860,14
10,Iodine Painting,http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=IP_88936,14
11,Ginger,http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=GINGER_44249,14
12,Garlic,http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=GARLIC_91278,14
13,Lemon,http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=LEMON_74479,13
14,Mouthwash,http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=MOUTHWASH_85940,12
15,Vinegar,http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=VINEGAR_34353,10
16,Hot Tea,http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=HOTTEA_66305,8
17,Cloves,http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=CLOVES_23916,7
18,Vicks Vapor Rub,http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=VICKSVAPORRUB_46442,6
19,Hand Therapy,http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=HANDTHERAPY_30103,6
20,Oregano Oil,http://www.earthclinic.com/Redirect.php?pageLink=/CURES/sore_throat.html&pop=1&name=OREGANOOIL_76832,5
